"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"FedSeg: Class-Heterogeneous Federated Learning for Semantic Segmentation","J. Miao; Z. Yang; L. Fan; Y. Yang","ReLER, CCAI, Zhejiang University; ReLER, CCAI, Zhejiang University; ReLER, CCAI, Zhejiang University; ReLER, CCAI, Zhejiang University",2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"22 Aug 2023","2023","","","8042","8052","Federated Learning (FL) is a distributed learning paradigm that collaboratively learns a global model by multiple clients with data privacy-preserving. Although many FL algorithms have been proposed for classification tasks, few works focus on more challenging semantic segmentation tasks, especially in the class-heterogeneous FL situation. Compared with classification, the issues from heterogeneous FL for semantic segmentation are more severe: (1) Due to the non-IID distribution, different clients may contain inconsistent foreground-background classes, resulting in divergent local updates. (2) Class-heterogeneity for complex dense prediction tasks makes the local optimum of clients farther from the global optimum. In this work, we propose FedSeg, a basic federated learning approach for class-heterogeneous semantic segmentation. We first propose a simple but strong modified cross-entropy loss to correct the local optimization and address the foreground-background inconsistency problem. Based on it, we introduce pixel-level contrastive learning to enforce local pixel embeddings belonging to the global semantic space. Extensive experiments on four semantic segmentation benchmarks (Cityscapes, CamVID, PascalVOC and ADE20k) demonstrate the effectiveness of our FedSeg. We hope this work will attract more attention from the FL community to the challenging semantic segmentation federated learning.","2575-7075","979-8-3503-0129-8","10.1109/CVPR52729.2023.00777","National Key R&D Program of China(grant numbers:2021ZD0112801); Fundamental Research Funds for the Central Universities(grant numbers:226-2022-00051); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10203444","Segmentation;grouping and shape analysis","Federated learning;Distance learning;Semantic segmentation;Semantics;Distributed databases;Benchmark testing;Data models","","59","","65","IEEE","22 Aug 2023","17-24 June 2023","17-24 June 2023","IEEE","IEEE Conferences"
"Re-Thinking Federated Active Learning Based on Inter-Class Diversity","S. Kim; S. Bae; H. Song; S. -Y. Yun",KAIST AI; KAIST AI; NAVER AI LAB; KAIST AI,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"22 Aug 2023","2023","","","3944","3953","Although federated learning has made awe-inspiring advances, most studies have assumed that the client's data are fully labeled. However, in a real-world scenario, every client may have a significant amount of unlabeled instances. Among the various approaches to utilizing un-labeled data, a federated active learning framework has emerged as a promising solution. In the decentralized setting, there are two types of available query selector models, namely ‘global’ and ‘local-only’ models, but little literature discusses their performance dominance and its causes. In this work, we first demonstrate that the superiority of two selector models depends on the global and local inter-class diversity. Furthermore, we observe that the global and local-only models are the keys to resolving the imbalance of each side. Based on our findings, we propose LoGo, a FAL sampling strategy robust to varying local heterogeneity levels and global imbalance ratio, that integrates both models by two steps of active selection scheme. LoGo consistently outperforms six active learning strategies in the total number of 38 experimental settings. The code is available at: https://github.com/raymin0223/LoGo.","2575-7075","979-8-3503-0129-8","10.1109/CVPR52729.2023.00384","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10205184","Vision applications and systems","Computer vision;Codes;Federated learning;Clustering algorithms;Pattern recognition","","22","","48","IEEE","22 Aug 2023","17-24 June 2023","17-24 June 2023","IEEE","IEEE Conferences"
"Identifying Concept Drift with Supervised Algorithms in Smart Grids","A. Sayin; M. Mohammadpourfard; M. T. Sandikkaya","Computer Engineering Department, Istanbul Technical University, İstanbul, Turkey; Electrical Engineering Department, Istanbul Technical University, İstanbul, Turkey; Computer Engineering Department, Istanbul Technical University, İstanbul, Turkey",2023 IEEE PES GTD International Conference and Exposition (GTD),"29 Sep 2023","2023","","","263","267","Early and correct disclosure of anomality is critical for realiable and secure activity of the smart grid. Machine learning based outlier detection schemes could be helpful when there is no concept drift in the smart grid. Concept drift is considered an unforeseeable change in the distribution of the data in machine learning [4]. In this study, an anomaly detection is formulated as a machine learning problem and a robust detection algorithm is proposed. Numerical results demonstrate effectiveness of the proposed solution to detect anomaly and contingency besides integrity attacks in the smart grid.","","978-1-7281-7025-1","10.1109/GTD49768.2023.00076","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10261750","smart grid security;smart grid;concept drift;anomaly detection","Machine learning algorithms;Machine learning;Predictive models;Prediction algorithms;Smart grids;Decision trees;Security","","5","","17","IEEE","29 Sep 2023","22-25 May 2023","22-25 May 2023","IEEE","IEEE Conferences"
"HFTL: Hierarchical Federated Transfer Learning for Secure and Efficient Fault Classification in Additive Manufacturing","M. A. P. Putra; S. M. Rachmawati; M. Abisado; G. A. Sampedro","Informatic Engineering, STMIK Primakara, Denpasar, Bali, Indonesia; Research and Development Center, Philippine Coding Camp, Manila, Philippines; College of Computing and Information Technologies, National University, Manila, Philippines; Faculty of Information and Communication Studies, University of the Philippines Open University, Laguna, Philippines",IEEE Access,"8 Jun 2023","2023","11","","54795","54807","The technology advancement is supported by additive manufacturing industries, especially 3D printing companies, that enable fast object prototyping and development in Industry 4.0. As 3D printed products are highly adopted in various fields, the final printed product must fulfill precise requirements without any defects. Therefore, an efficient framework that simultaneously learns and detects faults during the printing process is required. Unfortunately, most state-of-the-art studies utilize a centralized approach, which is inefficient for continuous model updates. This article presents a hierarchical federated transfer learning (HFTL) framework that employs edge, fog, and cloud concepts to enable an efficient model updating mechanism. The proposed HFTL uses a well-known DL model with a new classifier to significantly reduce the distributed training process while providing high detection and classification performance. Additionally, the fog server comprehensively exploits the data collection from several edge servers and performs local training. The extensive simulation results indicate that the performance of the proposed HFTL is more efficient, with 24% faster training time, effectively detects flaws in 3D printing products with 45% accuracy, and has a 59% F1-score improvement in non-IID data distribution compared to traditional FL architecture.","2169-3536","","10.1109/ACCESS.2023.3280471","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10138167","Additive manufacturing;hierarchical network;federated learning;fault classification;transfer learning","Three-dimensional displays;Printers;Three-dimensional printing;Solid modeling;Servers;Frequency division multiplexing;Transfer learning","","12","","36","CCBYNCND","29 May 2023","2023","","IEEE","IEEE Journals"
"Noisy Label Learning With Provable Consistency for a Wider Family of Losses","D. Liu; W. Li; L. Duan; I. W. Tsang; G. Yang","School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; Centre for Frontier AI Research (CFAR) and Institute of High-Performance Computing (IHPC)Agency for Science, Technology and Research (A*STAR), Singapore; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China",IEEE Transactions on Pattern Analysis and Machine Intelligence,"3 Oct 2023","2023","45","11","13536","13552","Deep models have achieved state-of-the-art performance on a broad range of visual recognition tasks. Nevertheless, the generalization ability of deep models is seriously affected by noisy labels. Though deep learning packages have different losses, this is not transparent for users to choose consistent losses. This paper addresses the problem of how to use abundant loss functions designed for the traditional classification problem in the presence of label noise. We present a dynamic label learning (DLL) algorithm for noisy label learning and then prove that any surrogate loss function can be used for classification with noisy labels by using our proposed algorithm, with a consistency guarantee that the label noise does not ultimately hinder the search for the optimal classifier of the noise-free sample. In addition, we provide a depth theoretical analysis of our algorithm to verify the justifies’ correctness and explain the powerful robustness. Finally, experimental results on synthetic and real datasets confirm the efficiency of our algorithm and the correctness of our justifies and show that our proposed algorithm significantly outperforms or is comparable to current state-of-the-art counterparts.","1939-3539","","10.1109/TPAMI.2023.3296156","National Natural Science Foundation of China(grant numbers:62172075); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10185026","Label noise;robustness;deep model;dynamic label learning","Noise measurement;Classification algorithms;Training;Heuristic algorithms;Deep learning;Risk management;Robustness","","2","","63","IEEE","17 Jul 2023","1 Nov. 2023","","IEEE","IEEE Journals"
"A Robust Multilabel Method Integrating Rule-Based Transparent Model, Soft Label Correlation Learning and Label Noise Resistance","Q. Lou; Z. Deng; Q. Sang; Z. Xiao; K. -S. Choi; S. Wang","School of Artificial Intelligence and Computer Science, Wuxi, China; School of Artificial Intelligence and Computer Science, Wuxi, China; School of Artificial Intelligence and Computer Science, Wuxi, China; School of Artificial Intelligence and Computer Science, Wuxi, China; Centre for Smart Health, Hong Kong Polytechnic University, Hung Hom, Hong Kong; School of Artificial Intelligence and Computer Science, Wuxi, China",IEEE Transactions on Emerging Topics in Computational Intelligence,"23 Jan 2024","2024","8","1","454","473","Model transparency, label correlation learning and robustness to label noise are crucial for multilabel learning. However, few existing methods consider these three characteristics simultaneously. To address this challenge, we propose the robust multilabel Takagi-Sugeno-Kang fuzzy system (R-MLTSK-FS) with three mechanisms. First, we design a soft label learning mechanism to reduce the effect of label noise by explicitly measuring the interactions between labels, which is also the basis of the other two mechanisms. Second, rule-based multi-output TSK FS is used as the base model to efficiently model the inference relationship between features and soft labels in a more transparent way than many existing multilabel models. Third, to further improve the performance of multilabel learning, we build a correlation enhancement learning mechanism based on the soft label space and the fuzzy feature space. Extensive experiments are conducted to demonstrate the superiority of the proposed method.","2471-285X","","10.1109/TETCI.2023.3306232","National key R&D plan(grant numbers:2022YFE0112400); National Natural Science Foundation of China(grant numbers:62176105); Hong Kong Research Grants Council(grant numbers:PolyU 152006/19E); Project of Strategic Importance of the Hong Kong Polytechnic University(grant numbers:1-ZE1V); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10233911","Label correlation;label noise;model transparency;multilabel classification","Correlation;Noise measurement;Learning systems;Matrix decomposition;Training;Takagi-Sugeno model;Sparse matrices;Labeling;Classification algorithms","","4","","93","IEEE","29 Aug 2023","Feb. 2024","","IEEE","IEEE Journals"
"No One Left Behind: Real-World Federated Class-Incremental Learning","J. Dong; H. Li; Y. Cong; G. Sun; Y. Zhang; L. Van Gool","State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; Department of Civil and Environmental Engineering, Hong Kong Polytechnic University, Hong Kong, SAR, China; College of Automation Science and Engineering, South China University of Technology, Guangzhou, China; State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; Computer Vision Lab, ETH Zürich, Zürich, Switzerland; Computer Vision Lab, ETH Zürich, Zürich, Switzerland",IEEE Transactions on Pattern Analysis and Machine Intelligence,"6 Mar 2024","2024","46","4","2054","2070","Federated learning (FL) is a hot collaborative training framework via aggregating model parameters of decentralized local clients. However, most FL methods unreasonably assume data categories of FL framework are known and fixed in advance. Moreover, some new local clients that collect novel categories unseen by other clients may be introduced to FL training irregularly. These issues render global model to undergo catastrophic forgetting on old categories, when local clients receive new categories consecutively under limited memory of storing old categories. To tackle the above issues, we propose a novel Local-Global Anti-forgetting (LGA) model. It ensures no local clients are left behind as they learn new classes continually, by addressing local and global catastrophic forgetting. Specifically, considering tackling class imbalance of local client to surmount local forgetting, we develop a category-balanced gradient-adaptive compensation loss and a category gradient-induced semantic distillation loss. They can balance heterogeneous forgetting speeds of hard-to-forget and easy-to-forget old categories, while ensure consistent class-relations within different tasks. Moreover, a proxy server is designed to tackle global forgetting caused by Non-IID class imbalance between different clients. It augments perturbed prototype images of new categories collected from local clients via self-supervised prototype augmentation, thus improving robustness to choose the best old global model for local-side semantic distillation loss. Experiments on representative datasets verify superior performance of our model against comparison methods.","1939-3539","","10.1109/TPAMI.2023.3334213","National Natural Science Foundation of China(grant numbers:62225310,62127807,62273333,62133005); State Key Laboratory of Robotics(grant numbers:2023-Z13); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10323204","Catastrophic forgetting;class imbalance;class-incremental learning;federated learning;privacy preservation","Task analysis;Training;Prototypes;COVID-19;Servers;Semantics;Privacy","","57","","62","IEEE","20 Nov 2023","April 2024","","IEEE","IEEE Journals"
"Retrain AI Systems Responsibly! Use Sustainable Concept Drift Adaptation Techniques","L. Poenaru-Olaru; J. Sallou; L. Cruz; J. S. Rellermeyer; A. van Deursen","Software Engineering, TU Delft, Netherlands; Software Engineering, TU Delft, Netherlands; Software Engineering, TU Delft, Netherlands; Dependable and Scalable Software Systems, Leibniz University Hannover, Germany; Software Engineering, TU Delft, Netherlands",2023 IEEE/ACM 7th International Workshop on Green And Sustainable Software (GREENS),"26 Jul 2023","2023","","","17","18","Deployed machine learning systems often suffer from accuracy degradation over time generated by constant data shifts, also known as concept drift. Therefore, these systems require regular maintenance, in which the machine learning model needs to be adapted to concept drift. The literature presents plenty of model adaptation techniques. The most common technique is periodically executing the whole training pipeline with all the data gathered until a particular point in time, yielding a massive energy footprint. In this paper, we propose a research path that uses concept drift detection and adaptation to enable sustainable AI systems.","","979-8-3503-1238-6","10.1109/GREENS59328.2023.00009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190843","sustainable model retraining;concept drift adaptation;sustainable model maintenance","Training;Degradation;Adaptation models;Conferences;Pipelines;Machine learning;Maintenance engineering","","9","","7","IEEE","26 Jul 2023","14-14 May 2023","14-14 May 2023","IEEE","IEEE Conferences"
"Combining Self-Supervised and Supervised Learning with Noisy Labels","Y. Zhang; H. Zhang; Q. Yao; J. Wan","4Paradigm Inc., Beijing, China; 4Paradigm Inc., Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Institute of Automation, Chinese Academy of Sciences, Beijing, China",2023 IEEE International Conference on Image Processing (ICIP),"11 Sep 2023","2023","","","605","609","Since convolutional neural networks (CNNs) can easily overfit noisy labels, which are ubiquitous in visual classification tasks, it has been a great challenge to train CNNs against them robustly. Various methods have been proposed for this challenge. However, none of them pay attention to the difference between representation and classifier learning of CNNs. Thus, inspired by the observation that classifier is more robust to noisy labels while representation is much more fragile, and by the recent advances of self-supervised representation learning (SSRL) technologies, we design a new method, i.e., CS3NL, to obtain representation by SSRL without labels and train the classifier directly with noisy labels. Extensive experiments are performed on both synthetic and real benchmark datasets. Results demonstrate that the proposed method can beat the state-of-the-art ones by a large margin, especially under a high noisy level.","","978-1-7281-9835-4","10.1109/ICIP49359.2023.10221957","Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10221957","Convolutional neural network;noisy label learning;self-supervised learning;robustness","Representation learning;Training;Visualization;Image processing;Supervised learning;Self-supervised learning;Robustness","","","","34","IEEE","11 Sep 2023","8-11 Oct. 2023","8-11 Oct. 2023","IEEE","IEEE Conferences"
"Tongue Color Classification in TCM with Noisy Labels via Confident-Learning-Assisted Knowledge Distillation","Y. Li; L. Zhuo; L. Sun; H. Zhang; X. Li; Y. Yang; W. Wei","Beijing Key Laboratory of Computational Intelligence and Intelligent System, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Computational Intelligence and Intelligent System, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Computational Intelligence and Intelligent System, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Computational Intelligence and Intelligent System, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Computational Intelligence and Intelligent System, Beijing University of Technology, Beijing, China; Department of Gastroenterology, Wangjing Hospital, China Academy of Chinese Medical Sciences, Beijing, China; Department of Gastroenterology, Wangjing Hospital, China Academy of Chinese Medical Sciences, Beijing, China",Chinese Journal of Electronics,"7 Feb 2023","2023","32","1","140","150","Tongue color is an important tongue diagnostic index for traditional Chinese medicine (TCM). Due to the individual experience of TCM experts as well as ambiguous boundaries among the tongue color categories, there often exist noisy labels in annotated samples. Deep neural networks trained with the noisy labeled samples often have poor generalization capability because they easily overfit on noisy labels. A novel framework named confident-learning-assisted knowledge distillation (CLA-KD) is proposed for tongue color classification with noisy labels. In this framework, the teacher network plays two important roles. On the one hand, it performs confident learning to identify, cleanse and correct noisy labels. On the other hand, it learns the knowledge from the clean labels, which will then be transferred to the student network to guide its training. Moreover, we elaborately design a teacher network in an ensemble manner, named E-CA2-ResNet18, to solve the unreliability and instability problem resulted from the insufficient data samples. E-CA2-ResNet18 adopts ResNet18 as the backbone, and integrates channel attention (CA) mechanism and activate or not activation function together, which facilitates to yield a better performance. The experimental results on three self-established TCM tongue datasets demonstrate that, our proposed CLA-KD can obtain a superior classification accuracy and good robustness with a lower network model complexity, reaching 94.49%, 92.21%, 93.43% on the three tongue image datasets, respectively.","2075-5597","","10.23919/cje.2022.00.040","National Natural Science Foundation of China(grant numbers:61871006); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10038785","Traditional Chinese medicine;Tongue color classification;Confident learning;Learning from noisy labels;Knowledge distillation;Channel attention mechanism;ResNet18","Training;Knowledge engineering;Deep learning;Tongue;Image color analysis;Neural networks;Robustness","","8","","38","","7 Feb 2023","January 2023","","CIE","CIE Journals"
"Impact of Labeling Noise on Machine Learning: A Cost-aware Empirical Study","A. A. Gharawi; J. Alsubhi; L. Ramaswamy","Department of Computer Science, University of Georgia; Department of Computer Science, University of Georgia; Department of Computer Science, University of Georgia",2022 21st IEEE International Conference on Machine Learning and Applications (ICMLA),"23 Mar 2023","2022","","","936","939","Since the emergence of large datasets, machine learning models have demonstrated excellent performance in a wide range of applications. This accomplishment was made possible by the availability of large amounts of labeled datasets. Finding high-quality labeled datasets, on the other hand, is difficult to obtain. Acquiring high-quality datasets with limited class label noise becomes an important task since noisy datasets can affect the performance and structure of machine learning models. However, it is extremely difficult to reduce label noise significantly in real-world datasets unless using expensive expert annotators. This work studies the influence of varying degrees of label noise on the complexity and accuracy of machine learning models, based on considerable testing and research. It also explores how to reduce labeling costs while maintaining the desired accuracy.","","978-1-6654-6283-9","10.1109/ICMLA55696.2022.00156","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10068925","machine learning;deep learning;label noise;class label noise;Labeling Cost Optimization;mislabeled data","Support vector machines;Costs;Machine learning algorithms;Machine learning;Labeling;Noise measurement;Task analysis","","6","","21","IEEE","23 Mar 2023","12-14 Dec. 2022","12-14 Dec. 2022","IEEE","IEEE Conferences"
"Self-Adaptive Bandwidth Allocation to Address Dynamic Traffic Concept Drift in Optical Access Networks","L. Ruan; E. Wong","Peng Cheng Laboratory, Shenzhen, China; Dept of Electrical and Electronic Engineering, University of Melbourne, VIC, Australia",2023 21st International Conference on Optical Communications and Networks (ICOCN),"6 Sep 2023","2023","","","1","3","In this invited talk, we will review our recent work on online reinforcement learning-based dynamic bandwidth allocation (ORL-DBA) scheme that addresses concept drift in ML-enhanced optical access networks for supporting low-latency applications against network traffic dynamicity. The scheme improves bandwidth decisions via exploration or exploits existing decision knowledge to keep a low latency, with extensive simulations showing rapid and self-adaptive bandwidth decisions that yield up to 60% latency improvement in dynamic traffic environments.","2771-3059","979-8-3503-4350-2","10.1109/ICOCN59242.2023.10236276","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10236276","Optical access networks;reinforcement learning;concept drift;online learning;predictive bandwidth allocation","Integrated optics;Simulation;Training data;Bandwidth;Telecommunication traffic;Optical fiber networks;Channel allocation","","3","","9","IEEE","6 Sep 2023","31 July-3 Aug. 2023","31 July-3 Aug. 2023","IEEE","IEEE Conferences"
"A Label Correction Learning Framework for Gully Erosion Extraction Using High-Resolution Remote Sensing Images and Noisy Labels","C. Zhao; Y. Shen; N. Su; Y. Yan; S. Feng; W. Xiang; Y. Liu; T. Zhao","College of Information and Communication Engineering, Harbin Engineering University, Harbin, China; College of Information and Communication Engineering, Harbin Engineering University, Harbin, China; College of Information and Communication Engineering, Harbin Engineering University, Harbin, China; College of Information and Communication Engineering, Harbin Engineering University, Harbin, China; College of Information and Communication Engineering, Harbin Engineering University, Harbin, China; School of Computing, Engineering and Mathematical Sciences, La Trobe University, Melbourne, Australia; Heilongjiang Province Hydraulic Research Institute, Harbin, China; College of Information and Communication Engineering, Harbin Engineering University, Harbin, China",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"20 Dec 2023","2024","17","","1638","1655","Rapid and reliable gully erosion (GE) extraction from high-resolution remote sensing (HRRS) images is crucial for the development of land protection measures. For this task, semantic segmentation methods are widely considered the state-of-the-art solutions. Nevertheless, providing sufficient and clean training labels for segmentation models demands substantial expenses and time investment. In this context, a label correction learning (LCL) framework is proposed to effectively extract GE from HRRS images by leveraging more readily available noisy labels. The core objective of this framework is to suppress the adverse impact of noise within noisy labels on the model performance. To achieve this, we introduce three key components in the framework, including an adaptive correction loss function, a multitree refinement module, and a noise correction module. These components collaborate to rectify noisy labels during training, thereby providing the model with a training set containing less noise. To validate the effectiveness of the LCL framework, three severely eroded regions in Northeast China are selected as study areas and corresponding noisy datasets are generated. Extensive experiments on these datasets demonstrate that our framework can significantly mitigate the negative influence of label noise and ultimately achieve superior GE extraction performance. Moreover, by employing the proposed framework, we generate GE coverage maps for the study areas and obtain measurements of gully area and length that are very close to the true statistics. Such a framework that can effectively learn from noisy labels holds promise as a practical and cost-efficient means to provide reliable data references for land resource protection.","2151-1535","","10.1109/JSTARS.2023.3338977","National Natural Science Foundation of China(grant numbers:62271159,62071136,62002083,62371153,61971153); Heilongjiang Outstanding Youth Foundation(grant numbers:YQ2022F002); Heilongjiang Postdoctoral Foundation(grant numbers:LBH-Q20085,LBH-Z20051); Fundamental Research Funds for the Central Universities(grant numbers:3072022QBZ0805,3072021CFT0801,3072022CF0808); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10339800","Gully erosion (GE) extraction;high-resolution remote sensing images;land resource protection;noisy labels;semantic segmentation","Noise measurement;Training;Predictive models;Data mining;Erosion;Remote sensing;Natural resources;Semantic segmentation","","2","","53","CCBYNCND","4 Dec 2023","2024","","IEEE","IEEE Journals"
"Graph-based Multi-view Partial Multi-label Learning","W. Liu; S. Feng; H. Tian","School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China; School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China; China Mobile Xiongan Information Communication Technologies Ltd, China Mobile System Integration Communication., Ltd, Beijing, China","2022 IEEE 13th International Symposium on Parallel Architectures, Algorithms and Programming (PAAP)","11 Jan 2023","2022","","","1","5","In multi-view partial multi-label learning (MVPML) problem, each instance is described by several heterogeneous feature representations and associated with a set of candidate labels, which include both ground-truth and noisy labels. The key to learn from MVPML data lies in how to deal with multi-view data and how to select the ground-truth labels from candidate label set. In this paper, we propose a Graph-based Multi-view Partial Multi-label method, which integrates exploiting multi-view information, noisy label disambiguation and training predictor model into a whole framework. Specifically, we first exploit the consensus information across different views by learning the similarity graph of each view and fuses these similarity graphs into a unified graph. Secondly, we decompose the observed label set into a ground-truth label matrix and a noisy label matrix, where the noisy label matrix is assumed to be sparse. Then, we embed the learned unified similarity graph into the process of label disambiguation to obtain a more reliable ground-truth label matrix. Finally, the predictive model is learned by the ground-truth label matrix. Extensive experiments indicate that our proposed method can achieve superior or comparable performance against state-of-the-art methods.","","978-1-6654-5218-2","10.1109/PAAP56126.2022.10010429","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10010429","Multi-view Partial Multi-label Learning;Similarity Graph;Low-rank and Sparse Decomposition","Training;Fuses;Predictive models;Programming;Prediction algorithms;Parallel architectures;Sparse matrices","","3","","25","IEEE","11 Jan 2023","25-27 Nov. 2022","25-27 Nov. 2022","IEEE","IEEE Conferences"
"Regularly Truncated M-Estimators for Learning With Noisy Labels","X. Xia; P. Lu; C. Gong; B. Han; J. Yu; J. Yu; T. Liu","Sydney AI Center, School of Computer Science, Faculty of Engineering, University of Sydney, Darlington, NSW, Australia; Australian AI Institute, Faculty of Engineering and IT, University of Technology Sydney, Broadway, NSW, Australia; PCA Lab, the Key Laboratory of Intelligent Perception and Systems for High-Dimensional Information of Ministry of Education, School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; Department of Computer Science, Hong Kong Baptist University, Hong Kong, China; Department of Automation, University of Science and Technology of China, Hefei, China; School of Computer Science and Technology, Hangzhou Dianzi University, Hangzhou, China; Sydney AI Center, School of Computer Science, Faculty of Engineering, University of Sydney, Darlington, NSW, Australia",IEEE Transactions on Pattern Analysis and Machine Intelligence,"3 Apr 2024","2024","46","5","3522","3536","The sample selection approach is very popular in learning with noisy labels. As deep networks “learn pattern first”, prior methods built on sample selection share a similar training procedure: the small-loss examples can be regarded as clean examples and used for helping generalization, while the large-loss examples are treated as mislabeled ones and excluded from network parameter updates. However, such a procedure is arguably debatable from two folds: (a) it does not consider the bad influence of noisy labels in selected small-loss examples; (b) it does not make good use of the discarded large-loss examples, which may be clean or have meaningful information for generalization. In this paper, we propose regularly truncated M-estimators (RTME) to address the above two issues simultaneously. Specifically, RTME can alternately switch modes between truncated M-estimators and original M-estimators. The former can adaptively select small-losses examples without knowing the noise rate and reduce the side-effects of noisy labels in them. The latter makes the possibly clean examples but with large losses involved to help generalization. Theoretically, we demonstrate that our strategies are label-noise-tolerant. Empirically, comprehensive experimental results show that our method can outperform multiple baselines and is robust to broad noise types and levels.","1939-3539","","10.1109/TPAMI.2023.3347850","National Natural Science Foundation of China(grant numbers:62336003,12371510); NSF of Jiangsu Province(grant numbers:BZ2021013,BK20220080); NSFC Young Scientists Fund(grant numbers:62006202); NSFC General Program(grant numbers:62376235); RGC Early CAREER Scheme(grant numbers:22200720); National Natural Science Foundation of China(grant numbers:62276242); National Aviation Science Foundation(grant numbers:2022Z071078001); CAAI-Huawei MindSpore Open Fund(grant numbers:CAAIXSJLJJ-2021-016B,CAAIXSJLJJ-2022-001A); Anhui Province Key Research and Development Program(grant numbers:202104a05020007); DreamsFoundation of Jianghuai Advance Technology Center(grant numbers:2023-ZM01Z001); USTC-IAT Application Sci. & Tech. Achievement Cultivation Program(grant numbers:JL06521001Y); Sci. & Tech. Innovation Special Zone(grant numbers:20-163-14-LZ-001-004-01); National Natural Science Foundation of China(grant numbers:62125201,62020106007); Australian Research Council(grant numbers:FT220100318,DP220102121,LP220100527,LP220200949,IC190100031); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10375792","Learning with noisy labels;sample selection;truncated M-estimators;regularly truncated M-estimators;generalization","Noise measurement;Training;Training data;Computer science;Switches;Random variables;Australia","","10","","104","IEEE","28 Dec 2023","May 2024","","IEEE","IEEE Journals"
"Semi-supervised Learning in Distributed Split Learning Architecture and IoT Applications","M. Barhoush; A. Ayad; A. Schmeink","Chair of Information Theory and Data Analytics, RWTH Aachen University, Germany; Chair of Information Theory and Data Analytics, RWTH Aachen University, Germany; Chair of Information Theory and Data Analytics, RWTH Aachen University, Germany",2023 IEEE 15th International Symposium on Autonomous Decentralized System (ISADS),"7 Apr 2023","2023","","","1","6","In the era of big data, new learning techniques are emerging to solve the difficulties of data collection, storage, scalability, and privacy. To overcome these challenges, we propose a distributed learning system that merges the hybrid edge-cloud split-learning architecture with the semi-supervised learning scheme. The proposed system based on three semisupervised learning algorithms (FixMatch, Virtual Adversarial Training, and MeanTeacher) is compared to the supervised learning scheme and trained on different datasets and data distributions (IID and non-IID) and with a variable number of clients. The new system could efficiently utilize the local unlabeled samples on the client side and gave a performance encouragement that exceeds 30% in most cases even with small percentage of labelled data. Additionally, certain Split-SSL algorithms showed performance that was on par with or occasionally even better than more resource-intensive algorithms, although requiring less processing power and convergence time.","2640-7485","978-1-6654-6451-2","10.1109/ISADS56919.2023.10092050","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10092050","Algorithm Comparison;Big Data;Distributed Learning;Semi-supervised learning;Split Learning","Training;Data privacy;Computer aided instruction;Distance learning;Scalability;System performance;Supervised learning","","5","","32","IEEE","7 Apr 2023","15-17 March 2023","15-17 March 2023","IEEE","IEEE Conferences"
